avg_energy_usage,avg_water_usage,avg_transport_distance,avg_recycling_percentage,avg_efficiency,total_energy_usage,total_water_usage,product_lifetime,reuse_percentage,recycle_percentage,landfill_percentage,metal_type,production_route,region,sustainability_score,circularity_index,co2_emissions
11.45,13.6,1792.4,54.7,83.5,3184.48,11490.3,18,20.4,37.5,42.1,Steel,Secondary,North America,5.4,0.58,312.94
9.78,1.31,601.6,54.6,77.3,1425.6,282.72,21,5.6,11.1,83.3,Steel,Primary,Europe,3.15,0.17,143.02
7.24,10.29,467.7,8.9,94.0,2151.73,1206.75,13,22.1,49.7,28.2,Lead,Primary,North America,6.41,0.72,333.11
13.01,14.49,828.5,41.8,78.9,2838.67,6233.72,15,17.7,8.4,73.9,Aluminum,Primary,Africa,3.67,0.26,343.64
4.51,8.84,488.7,85.3,92.0,347.69,5286.99,10,11.2,39.4,49.4,Titanium,Secondary,Oceania,5.29,0.51,44.38
7.26,14.12,1348.0,85.6,90.5,6634.47,12173.86,1,32.1,35.3,32.6,Aluminum,Primary,South America,6.09,0.67,920.87
8.59,1.73,1653.9,9.9,75.6,496.6,1687.67,29,47.5,16.1,36.4,Aluminum,Secondary,South America,5.45,0.64,82.1
10.21,6.86,1349.5,9.1,68.7,7650.13,3207.17,6,10.4,16.5,73.1,Titanium,Primary,Oceania,3.41,0.27,486.21
16.13,4.64,1650.5,26.3,75.4,3137.94,498.45,9,35.6,28.2,36.2,Aluminum,Primary,South America,5.45,0.64,522.56
5.59,11.23,800.0,87.5,91.4,5123.9,8553.44,10,37.1,42.6,20.3,Lead,Primary,Africa,6.73,0.8,689.09
11.26,14.74,321.1,12.9,68.7,10113.24,8651.12,15,24.9,19.3,55.8,Titanium,Secondary,Asia,4.27,0.44,1520.67
12.66,4.59,1478.5,72.0,79.9,8497.47,2182.53,9,44.9,3.1,52.0,Zinc,Secondary,Europe,4.8,0.48,842.38
2.84,10.16,727.3,10.1,90.6,1955.69,3493.06,23,48.3,18.7,33.0,Zinc,Secondary,Africa,6.07,0.67,217.88
12.94,3.77,1345.8,62.3,73.4,712.63,1987.84,14,18.1,10.4,71.5,Iron Ore,Secondary,Europe,3.63,0.28,60.34
5.07,8.91,548.6,35.6,84.4,4997.13,3312.25,11,32.6,47.0,20.4,Steel,Secondary,Asia,6.51,0.8,983.91
3.17,7.5,171.6,78.9,69.3,2802.09,5768.71,7,33.1,34.9,32.0,Zinc,Primary,Africa,5.48,0.68,349.0
19.08,14.61,1985.2,23.4,64.2,17178.7,8279.47,24,20.2,2.5,77.3,Zinc,Primary,North America,3.06,0.23,3425.63
19.38,9.52,320.8,63.9,90.2,13106.35,8406.21,26,15.8,14.6,69.6,Aluminum,Primary,Asia,4.23,0.3,1618.21
16.55,5.89,1977.0,23.6,63.8,6248.41,3335.9,2,46.7,2.5,50.8,Titanium,Primary,South America,4.37,0.49,518.38
7.48,2.6,1954.8,71.4,70.3,6724.27,718.51,14,39.5,41.5,19.0,Copper,Secondary,Africa,6.16,0.81,848.05
3.76,3.12,1589.7,87.4,92.5,1229.3,2678.64,6,5.7,45.3,49.0,Aluminum,Secondary,Asia,5.33,0.51,68.77
14.32,4.15,1322.3,12.7,73.2,8371.13,2404.34,5,6.0,5.6,88.4,Aluminum,Secondary,Asia,2.78,0.12,1554.65
9.92,4.51,1159.8,86.7,97.0,1435.86,1111.71,5,46.1,22.0,31.9,Lead,Primary,Africa,6.32,0.68,248.09
4.2,12.91,1733.5,59.4,97.2,3888.6,8292.51,29,4.1,46.6,49.3,Titanium,Primary,South America,5.45,0.51,617.79
10.91,8.86,586.0,12.7,70.2,2004.52,3453.9,19,34.4,7.3,58.3,Copper,Secondary,Oceania,4.19,0.42,283.59
2.62,8.33,940.7,42.8,61.6,690.77,7098.7,19,11.3,14.6,74.1,Copper,Primary,South America,3.14,0.26,94.62
18.37,2.61,1242.6,16.1,86.8,10658.78,1254.46,6,1.8,15.2,83.0,Iron Ore,Primary,Asia,3.45,0.17,2126.53
6.66,13.04,828.3,70.0,77.1,5167.42,9651.16,28,3.0,1.5,95.5,Aluminum,Secondary,Europe,2.54,0.04,473.85
13.93,11.12,860.7,75.9,63.8,8892.69,1565.24,26,18.7,1.8,79.5,Lead,Primary,Oceania,2.94,0.2,1484.66
7.61,1.95,667.3,10.6,86.9,2058.71,831.14,29,3.9,47.6,48.5,Steel,Secondary,Oceania,5.18,0.52,282.48
11.36,10.91,1132.8,50.6,61.2,578.18,10736.31,10,29.8,28.6,41.6,Zinc,Primary,Asia,4.76,0.58,113.54
11.84,8.61,1702.6,81.5,93.1,9108.43,7043.3,23,32.4,15.3,52.3,Aluminum,Secondary,Africa,5.18,0.48,1586.42
5.33,2.14,411.0,93.6,65.3,5255.1,432.16,14,18.7,18.9,62.4,Steel,Primary,Africa,3.84,0.38,1049.86
19.45,7.42,1869.5,51.4,64.8,15937.67,2328.96,17,37.1,35.7,27.2,Steel,Secondary,Africa,5.58,0.73,2203.36
15.95,7.79,1381.3,95.0,66.7,7770.78,2830.3,3,24.5,18.3,57.2,Titanium,Secondary,South America,4.14,0.43,626.96
18.91,3.32,1648.3,53.6,96.5,17181.23,2217.25,28,21.5,11.4,67.1,Aluminum,Primary,North America,4.54,0.33,2157.16
18.11,14.24,1116.8,39.4,86.3,7956.72,10952.63,1,20.3,5.1,74.6,Titanium,Primary,Africa,3.86,0.25,1246.55
12.76,12.9,1561.2,84.8,90.5,7001.25,9830.45,10,21.6,36.4,42.0,Iron Ore,Secondary,Africa,5.62,0.58,1163.29
18.59,10.37,42.2,49.3,75.1,9355.85,5541.52,3,48.4,9.0,42.6,Steel,Secondary,Oceania,5.12,0.57,468.51
3.59,7.47,1638.6,47.2,72.8,1706.12,6127.49,5,34.1,3.5,62.4,Copper,Secondary,Europe,4.06,0.38,214.55
5.53,6.76,89.9,49.0,68.9,4348.96,3144.92,25,15.8,21.3,62.9,Steel,Secondary,Europe,3.92,0.37,370.9
2.81,10.11,1780.9,84.7,78.3,1546.71,1695.31,19,36.7,2.0,61.3,Iron Ore,Secondary,Asia,4.28,0.39,280.32
7.86,8.64,1984.0,83.2,81.0,2757.93,5064.94,10,16.5,48.2,35.3,Steel,Primary,Asia,5.66,0.65,201.15
9.0,1.87,595.2,40.4,84.0,2657.25,1785.26,26,6.3,31.4,62.3,Titanium,Primary,Asia,4.4,0.38,398.5
6.88,8.18,428.5,33.3,69.8,590.72,6571.35,25,23.8,7.6,68.6,Aluminum,Primary,Africa,3.66,0.31,53.11
16.92,12.29,1533.1,49.2,96.0,10220.28,7371.12,16,37.6,8.6,53.8,Copper,Primary,Europe,5.19,0.46,1057.61
8.42,7.43,513.5,57.3,66.5,2260.46,4936.98,1,18.9,28.5,52.6,Titanium,Primary,Asia,4.36,0.47,431.94
7.06,1.73,1732.5,23.8,96.7,1346.53,1615.88,6,43.5,17.8,38.7,Zinc,Secondary,Europe,5.97,0.61,115.89
11.77,12.01,214.7,79.4,60.6,7899.3,5487.68,9,19.3,38.7,42.0,Aluminum,Primary,Africa,4.72,0.58,507.53
4.54,3.82,260.7,48.6,78.3,3165.06,1393.63,28,17.5,27.3,55.2,Copper,Primary,Oceania,4.59,0.45,191.15
16.44,4.62,1958.5,33.4,72.7,12569.16,4520.11,5,49.9,21.7,28.4,Iron Ore,Secondary,Africa,5.76,0.72,1579.85
3.34,3.31,1350.9,10.7,77.1,1764.85,2880.6,27,24.1,48.1,27.8,Steel,Secondary,Asia,5.92,0.72,258.12
19.76,5.62,1695.3,23.9,81.7,17771.19,2005.73,14,40.3,19.5,40.2,Copper,Primary,Africa,5.44,0.6,1761.02
15.9,11.59,655.4,94.9,76.6,14938.46,5685.96,10,40.2,20.0,39.8,Lead,Primary,Africa,5.31,0.6,2293.64
5.58,8.27,1356.2,30.5,75.8,4558.87,3674.56,2,46.3,33.3,20.4,Zinc,Secondary,Europe,6.25,0.8,269.68
2.1,3.87,1192.5,16.9,87.8,1373.01,741.65,5,4.2,40.5,55.3,Iron Ore,Primary,North America,4.87,0.45,245.22
16.68,13.29,1210.3,46.1,86.1,5646.76,12757.45,1,13.6,31.3,55.1,Aluminum,Secondary,South America,4.83,0.45,973.98
14.72,13.31,1368.2,30.7,91.7,14481.5,5777.83,25,38.4,34.9,26.7,Lead,Primary,Asia,6.42,0.73,2864.79
15.12,13.19,1155.0,3.5,69.5,4693.69,11627.81,10,28.1,18.6,53.3,Copper,Primary,North America,4.42,0.47,894.03
15.88,4.34,863.8,32.3,83.2,3851.28,997.72,29,28.0,24.0,48.0,Iron Ore,Primary,Oceania,5.1,0.52,398.34
3.33,7.32,559.1,54.4,82.2,1565.25,4175.89,26,8.3,9.9,81.8,Aluminum,Primary,Asia,3.38,0.18,172.01
8.45,14.79,1539.5,55.2,74.1,878.79,1076.17,25,14.1,34.0,51.9,Lead,Secondary,North America,4.63,0.48,142.27
4.09,11.81,460.3,35.7,78.5,4006.44,9164.67,22,26.1,11.1,62.8,Lead,Secondary,Africa,4.22,0.37,280.9
17.54,1.38,1387.8,44.7,71.9,10682.07,830.58,27,13.9,0.1,86.0,Titanium,Primary,Asia,2.86,0.14,1037.25
13.22,1.91,474.3,96.6,65.4,7655.76,1230.63,9,10.5,46.7,42.8,Steel,Primary,North America,4.82,0.57,518.92
7.96,7.5,1254.4,37.7,68.1,5357.13,743.51,3,4.4,15.3,80.3,Iron Ore,Primary,South America,3.03,0.2,633.39
3.14,13.73,1496.7,25.8,64.0,1639.62,3439.18,15,7.8,9.8,82.4,Lead,Primary,Africa,2.8,0.18,217.74
7.6,8.54,445.2,24.3,86.0,611.5,1030.05,4,38.4,13.4,48.2,Titanium,Secondary,Asia,5.17,0.52,49.94
7.85,7.97,129.3,45.8,85.1,4958.81,2586.01,13,35.9,16.5,47.6,Zinc,Secondary,Oceania,5.17,0.52,267.75
15.13,2.48,270.6,76.0,96.1,11050.43,1602.25,6,2.3,23.7,74.0,Zinc,Primary,Oceania,4.18,0.26,1744.9
13.48,10.19,1215.9,20.6,87.7,6010.89,5990.46,20,10.2,3.5,86.3,Aluminum,Secondary,Asia,3.32,0.14,318.58
17.97,12.51,1700.4,70.9,62.0,13826.67,7900.59,17,28.0,2.6,69.4,Lead,Secondary,North America,3.39,0.31,2710.17
10.5,6.33,99.5,2.1,93.6,2789.34,3619.42,23,16.1,14.6,69.3,Lead,Primary,Asia,4.34,0.31,232.19
4.15,11.86,1471.0,41.9,92.8,1079.88,3669.22,5,41.2,14.8,44.0,Copper,Primary,Africa,5.58,0.56,161.53
14.84,14.5,689.2,77.6,76.8,3017.66,4093.09,15,39.2,5.9,54.9,Lead,Primary,Europe,4.56,0.45,347.67
15.69,3.85,962.3,33.9,82.3,6329.27,693.8,8,44.6,20.2,35.2,Steel,Secondary,Oceania,5.71,0.65,373.12
12.1,8.33,1858.4,56.4,97.1,10341.4,7135.62,25,28.1,14.2,57.7,Aluminum,Secondary,North America,5.03,0.42,1249.53
15.88,5.02,670.6,20.5,80.2,13283.88,3190.99,5,17.6,1.3,81.1,Iron Ore,Secondary,South America,3.35,0.19,1693.88
10.89,12.1,936.0,74.2,94.4,4505.01,2748.94,24,30.3,44.3,25.4,Lead,Secondary,Asia,6.56,0.75,802.8
11.41,9.09,37.2,5.2,63.2,6956.25,1984.79,13,4.5,44.3,51.2,Steel,Primary,Africa,4.34,0.49,1111.97
9.7,9.88,172.4,85.3,67.3,7127.32,8688.31,1,0.5,10.5,89.0,Lead,Primary,Asia,2.57,0.11,441.15
2.46,12.17,524.6,19.8,76.7,686.7,9195.58,1,0.9,8.1,91.0,Titanium,Primary,South America,2.75,0.09,55.88
3.94,6.54,65.4,87.4,82.2,826.35,4423.85,7,20.4,27.4,52.2,Steel,Secondary,Africa,4.86,0.48,79.98
2.57,13.81,1266.4,35.3,91.0,2501.87,6028.35,22,11.4,31.5,57.1,Titanium,Primary,South America,4.88,0.43,168.78
13.46,8.46,858.5,72.3,97.6,8569.71,2528.5,5,7.9,47.9,44.2,Aluminum,Primary,Africa,5.72,0.56,1015.81
7.66,3.21,1100.8,31.9,74.8,7524.76,3147.34,14,30.8,18.9,50.3,Lead,Secondary,Europe,4.73,0.5,1487.24
11.15,10.74,357.5,90.6,61.8,4135.18,8671.24,15,49.8,30.9,19.3,Copper,Primary,Oceania,5.89,0.81,525.96
18.34,12.11,598.9,12.7,90.4,13165.92,4077.32,21,8.9,43.9,47.2,Zinc,Secondary,Africa,5.35,0.53,2123.43
6.49,5.43,1331.0,17.9,83.0,1696.96,4643.66,25,27.3,22.5,50.2,Steel,Secondary,South America,4.98,0.5,258.69
9.39,13.0,1931.0,49.3,67.5,2799.54,10022.81,17,6.0,6.1,87.9,Copper,Primary,North America,2.63,0.12,496.88
15.6,13.69,110.3,8.2,78.8,8366.39,4548.18,24,46.7,18.9,34.4,Copper,Primary,Oceania,5.64,0.66,689.04
6.12,4.88,1781.9,19.6,88.2,2164.26,2221.5,18,14.6,6.8,78.6,Zinc,Secondary,Europe,3.72,0.21,352.93
3.39,14.77,1158.0,94.4,89.3,709.33,3347.71,7,43.9,0.8,55.3,Steel,Primary,Asia,4.91,0.45,129.24
7.22,2.97,1132.2,97.6,79.0,2164.1,461.83,22,14.2,37.6,48.2,Lead,Primary,Europe,4.96,0.52,163.88
4.9,3.83,1005.6,37.6,71.6,411.41,2821.27,26,40.3,11.9,47.8,Steel,Secondary,Europe,4.76,0.52,41.97
18.73,3.58,148.1,92.3,97.0,13470.66,1088.81,18,10.5,0.1,89.4,Copper,Primary,Asia,3.44,0.11,2633.72
16.55,13.52,188.9,54.5,85.2,8564.8,11208.84,28,14.6,43.6,41.8,Iron Ore,Secondary,Africa,5.47,0.58,1431.33
13.4,10.16,1205.8,27.0,75.5,1869.71,10117.62,29,9.6,22.2,68.2,Iron Ore,Secondary,Europe,3.85,0.32,172.74
17.69,3.13,688.5,70.2,70.7,3769.9,384.33,19,13.2,11.9,74.9,Steel,Secondary,Oceania,3.38,0.25,507.4
16.47,7.16,1835.4,65.9,87.8,2427.81,3575.58,20,41.7,13.1,45.2,Copper,Secondary,Europe,5.37,0.55,268.63
5.36,9.61,819.1,98.9,69.2,3387.32,7802.93,7,32.0,12.0,56.0,Copper,Primary,North America,4.28,0.44,418.32
18.07,2.17,295.1,26.5,66.5,2520.76,1734.92,8,20.3,9.7,70.0,Aluminum,Primary,Oceania,3.5,0.3,260.33
11.71,13.35,1432.3,67.2,80.1,8976.51,10306.16,13,48.6,42.1,9.3,Copper,Primary,North America,6.94,0.91,824.94
16.53,12.25,593.8,5.2,71.0,1148.59,4673.93,27,23.2,8.5,68.3,Zinc,Secondary,Oceania,3.72,0.32,173.68
18.13,8.07,1055.7,11.4,83.9,5201.62,3882.97,18,48.5,28.1,23.4,Iron Ore,Primary,South America,6.35,0.77,867.53
7.72,14.54,1398.7,0.4,64.5,6918.15,8945.3,24,9.8,3.9,86.3,Aluminum,Secondary,Asia,2.62,0.14,1252.83
3.98,6.85,1801.5,99.9,84.9,2915.77,6680.42,11,45.2,47.5,7.3,Lead,Secondary,Oceania,7.18,0.93,213.72
6.1,14.78,1586.5,80.2,70.8,727.85,5338.09,9,0.7,30.2,69.1,Zinc,Primary,Oceania,3.67,0.31,126.23
9.69,10.35,1356.0,78.7,60.0,8043.38,9594.31,23,27.3,45.2,27.5,Lead,Primary,Africa,5.42,0.72,709.59
16.72,9.89,1362.5,51.0,64.8,8667.37,3025.24,1,21.2,19.9,58.9,Iron Ore,Secondary,Africa,4.0,0.41,988.95
17.49,3.32,1892.4,30.0,95.5,14944.22,3285.54,22,26.3,40.5,33.2,Zinc,Secondary,South America,6.2,0.67,2767.92
2.13,13.35,598.7,15.1,93.0,1322.1,9168.12,8,27.7,42.7,29.6,Titanium,Secondary,Africa,6.31,0.7,156.24
11.19,6.98,12.2,28.5,68.9,7807.73,3422.54,21,19.5,35.1,45.4,Steel,Secondary,Africa,4.8,0.55,621.18
9.51,3.27,551.2,37.6,89.6,9451.29,2069.0,12,49.9,4.6,45.5,Titanium,Primary,North America,5.41,0.55,699.21
6.0,1.18,443.6,75.6,83.1,1624.31,364.51,2,48.8,0.8,50.4,Steel,Primary,Africa,4.97,0.5,196.46
4.16,8.84,1327.1,54.0,96.9,2673.83,2744.51,15,48.1,8.4,43.5,Iron Ore,Primary,Africa,5.73,0.56,439.58
8.08,8.38,1271.1,7.7,74.2,3937.43,1323.01,21,49.0,5.9,45.1,Iron Ore,Secondary,South America,4.97,0.55,785.84
18.97,11.07,1191.0,1.8,85.9,1659.48,1752.91,24,39.7,36.3,24.0,Titanium,Secondary,South America,6.38,0.76,278.98
7.82,13.46,42.3,10.2,62.4,498.5,5118.68,18,49.4,27.9,22.7,Zinc,Primary,Europe,5.74,0.77,90.5
11.34,2.11,1460.3,41.0,75.1,1851.45,1634.64,17,44.6,26.3,29.1,Lead,Primary,Africa,5.8,0.71,300.26
14.65,11.24,653.8,93.3,96.6,9766.23,7053.92,15,20.8,12.6,66.6,Steel,Primary,Africa,4.57,0.33,1800.07
8.55,3.62,1333.5,63.7,80.5,5034.28,533.79,20,39.2,7.7,53.1,Steel,Secondary,Oceania,4.76,0.47,309.33
19.49,13.01,1117.6,80.2,70.9,11221.53,11183.72,20,45.6,10.3,44.1,Aluminum,Secondary,Africa,4.92,0.56,2126.36
19.32,12.47,692.0,46.6,64.6,1550.7,7747.6,9,35.6,20.0,44.4,Copper,Secondary,North America,4.72,0.56,169.74
6.53,8.57,277.8,36.2,86.7,3237.82,8251.31,3,21.1,37.0,41.9,Zinc,Primary,Oceania,5.51,0.58,609.49
10.95,10.94,197.9,10.8,84.5,10165.89,7512.24,20,3.3,12.7,84.0,Zinc,Primary,Africa,3.33,0.16,623.78
7.42,5.4,1664.7,87.6,74.2,3173.63,1168.65,19,40.5,34.9,24.6,Aluminum,Primary,North America,6.0,0.75,499.17
7.13,7.6,1837.6,78.3,96.1,4589.41,3800.72,18,47.6,24.6,27.8,Iron Ore,Primary,Europe,6.49,0.72,735.93
2.66,12.5,1303.1,16.8,60.8,2103.6,8325.91,20,18.1,44.3,37.6,Titanium,Primary,Oceania,4.94,0.62,419.75
12.97,7.43,215.8,51.2,71.5,10307.64,571.01,8,7.6,11.6,80.8,Zinc,Primary,Asia,3.1,0.19,1704.14
11.05,6.01,810.0,48.7,95.0,6003.64,385.63,1,16.3,22.5,61.2,Steel,Secondary,Africa,4.79,0.39,644.71
2.93,7.92,1460.6,62.5,72.2,2534.61,1369.63,24,29.1,4.8,66.1,Aluminum,Primary,Oceania,3.86,0.34,338.59
7.02,12.6,1561.8,94.6,69.6,2961.1,3642.42,24,15.8,16.8,67.4,Titanium,Primary,South America,3.72,0.33,310.86
18.35,5.69,245.3,58.0,80.3,16409.64,2606.43,15,30.5,25.3,44.2,Lead,Secondary,Oceania,5.2,0.56,1302.97
6.31,3.43,10.1,54.0,91.3,1755.54,1759.82,19,48.3,36.6,15.1,Titanium,Secondary,South America,6.98,0.85,153.22
4.61,10.97,1427.2,5.0,63.9,1457.71,1986.95,26,33.5,9.9,56.6,Zinc,Secondary,Africa,4.09,0.43,121.43
10.81,12.56,719.6,6.3,95.8,1086.02,8662.91,10,18.1,10.9,71.0,Copper,Secondary,North America,4.32,0.29,143.7
19.74,2.41,516.4,18.7,90.2,15906.55,1485.36,12,46.8,31.6,21.6,Steel,Secondary,South America,6.63,0.78,2957.41
6.36,4.36,35.7,3.2,66.9,2837.85,1437.67,28,28.3,19.1,52.6,Titanium,Secondary,Oceania,4.38,0.47,530.42
14.1,2.99,1085.2,74.3,87.1,3774.02,188.3,6,6.4,24.1,69.5,Lead,Primary,Oceania,4.14,0.3,219.7
15.71,5.87,1703.8,72.3,74.6,4244.85,726.5,29,24.9,41.8,33.3,Steel,Primary,South America,5.57,0.67,263.12
6.28,7.3,1915.7,13.6,75.3,5691.75,3081.4,13,32.7,25.0,42.3,Zinc,Primary,Europe,5.14,0.58,493.86
15.11,11.48,1135.8,83.6,89.8,12725.96,2253.24,4,41.9,32.6,25.5,Aluminum,Primary,Europe,6.42,0.74,1123.18
8.62,10.12,1033.8,15.5,96.6,4963.86,4128.74,13,46.8,32.8,20.4,Lead,Secondary,Europe,6.88,0.8,318.85
13.38,9.69,179.3,30.1,64.8,8500.38,6267.23,17,15.9,40.2,43.9,Titanium,Secondary,South America,4.75,0.56,920.33
13.4,5.93,1102.3,24.9,76.0,6708.16,3379.36,1,7.8,31.9,60.3,Lead,Primary,South America,4.26,0.4,926.79
11.64,12.78,766.2,37.2,78.3,4913.05,3445.71,5,3.7,3.2,93.1,Zinc,Secondary,Oceania,2.69,0.07,671.73
3.63,7.6,1218.2,25.5,74.3,3338.52,2862.4,28,36.9,17.1,46.0,Titanium,Secondary,Africa,4.93,0.54,439.06
17.04,14.71,783.6,48.9,73.8,2885.42,9316.28,24,39.8,49.5,10.7,Lead,Primary,Africa,6.68,0.89,290.85
7.77,9.88,488.2,40.7,62.0,3477.26,8573.99,17,20.5,9.8,69.7,Aluminum,Primary,North America,3.38,0.3,542.34
5.36,2.77,199.0,98.7,86.1,2022.51,2120.58,18,19.8,29.3,50.9,Lead,Primary,South America,5.04,0.49,351.86
2.73,10.47,636.7,5.6,76.6,1428.45,6027.89,7,47.7,42.1,10.2,Steel,Primary,Africa,6.79,0.9,145.62
12.64,5.55,202.3,14.2,67.4,6127.24,2187.69,16,45.8,29.3,24.9,Steel,Primary,Africa,5.78,0.75,384.98
14.2,10.61,362.0,5.3,91.0,7709.82,4210.03,8,11.7,18.6,69.7,Titanium,Primary,Europe,4.24,0.3,728.19
2.3,1.97,1974.8,62.6,90.5,420.72,1744.33,12,39.0,4.0,57.0,Zinc,Primary,Europe,4.86,0.43,29.71
11.22,3.45,893.8,5.5,78.5,6030.58,301.12,14,31.1,18.1,50.8,Aluminum,Primary,Europe,4.81,0.49,724.3
6.08,12.98,1068.4,83.6,71.3,1704.21,12831.81,19,7.7,9.1,83.2,Iron Ore,Secondary,Asia,2.98,0.17,125.07
13.61,4.18,1748.5,51.2,84.2,3063.81,2847.23,11,17.8,48.0,34.2,Steel,Primary,Africa,5.82,0.66,365.9
5.14,12.72,1991.2,52.7,70.9,573.59,8866.87,12,8.9,35.8,55.3,Lead,Secondary,Europe,4.36,0.45,47.69
14.44,4.91,1169.6,56.2,69.0,11184.07,422.74,13,14.8,37.5,47.7,Iron Ore,Primary,Europe,4.69,0.52,1798.51
8.96,10.0,1626.8,17.1,87.8,4086.39,6252.53,8,30.8,21.8,47.4,Lead,Secondary,South America,5.26,0.53,221.22
18.86,10.72,660.6,19.8,61.5,12170.57,5472.98,1,18.8,5.5,75.7,Titanium,Primary,Oceania,3.06,0.24,1621.27
4.48,8.18,618.4,31.9,63.6,3320.64,1231.01,9,19.7,13.3,67.0,Iron Ore,Primary,Europe,3.56,0.33,250.45
8.14,5.27,811.4,59.3,60.3,5660.16,1654.92,28,27.0,13.0,60.0,Zinc,Primary,South America,3.81,0.4,283.85
4.04,3.98,1348.3,21.0,65.8,2007.78,3565.28,2,4.4,24.3,71.3,Lead,Primary,North America,3.41,0.29,362.16
18.64,1.46,1367.6,11.6,62.6,7800.91,835.83,14,36.9,23.0,40.1,Zinc,Primary,Europe,4.87,0.6,1175.82
17.79,5.26,637.3,97.0,97.8,7243.41,2328.84,13,20.1,21.7,58.2,Lead,Secondary,Oceania,5.02,0.42,469.67
6.64,10.14,275.1,2.2,71.0,4369.43,1207.15,16,24.0,24.8,51.2,Iron Ore,Primary,South America,4.57,0.49,653.71
13.88,14.14,1268.5,80.3,65.7,7218.36,10299.79,2,48.7,49.4,1.9,Zinc,Primary,Oceania,6.88,0.98,1023.18
16.71,13.2,265.4,78.8,69.2,14315.05,9473.75,4,17.2,14.9,67.9,Steel,Primary,Europe,3.68,0.32,1732.17
11.99,11.72,1161.2,29.7,95.6,10562.79,7422.76,12,32.4,30.8,36.8,Titanium,Secondary,North America,6.03,0.63,1192.42
11.53,12.04,1389.9,13.6,79.8,2444.73,6438.38,16,19.6,12.0,68.4,Iron Ore,Secondary,Europe,3.97,0.32,447.53
6.35,10.31,1404.2,14.6,73.9,1139.33,4764.2,10,44.7,23.3,32.0,Lead,Secondary,South America,5.62,0.68,98.86
3.68,4.64,1509.4,69.7,93.2,2387.88,2847.14,3,42.3,10.0,47.7,Steel,Secondary,North America,5.41,0.52,262.06
18.15,13.7,1747.0,64.3,75.0,6101.38,3722.64,4,12.1,27.9,60.0,Lead,Secondary,North America,4.25,0.4,606.28
18.21,10.39,1004.9,78.3,72.7,1231.76,9810.2,6,34.6,13.3,52.1,Iron Ore,Secondary,North America,4.58,0.48,204.08
13.4,8.85,1463.2,93.7,67.9,11982.42,5392.79,23,3.3,1.8,94.9,Lead,Primary,Asia,2.29,0.05,2246.34
8.1,2.55,1242.2,69.2,74.4,2151.0,881.36,5,48.2,40.8,11.0,Steel,Primary,South America,6.68,0.89,381.73
8.29,7.26,381.4,15.6,72.0,7733.05,3464.44,18,17.4,6.4,76.2,Zinc,Primary,Asia,3.35,0.24,1311.96
